Source List,,,,,,
Category,,Indicator,Notes,,Source (Click for Hyperlinks),
Education,,K-12 Current Expense Funding,"Most counties provided the amount of their appropriation for current expense to NCACC in NCACC's annual Budget and Tax Survey; counties that declined to respond are shown as null. 

""ADM"" stands for ""Average Daily Membership"" and is used to represent the student population. This analysis uses M1 ADM for the 2023-24 school year.",,"Current expense data: self-reported by counties to NCACC.

ADM data: North Carolina Department of Public Instruction. Download the file ""2023-2024, May 31, 2024"" under the header ""Average Daily Membership and Membership Last Day by LEA""",
Education,,Teacher Salary Supplements,"In the past, teacher supplements were locally funded. However, S.L. 2021-180 created the Teacher Supplement Assistance Allotment, providing State funds to some LEAs to supplement teacher salaries.  ",,"Table 20, North Carolina Public Schools Statistical Profile, North Carolina Department of Public Instruction.",
Education,,3rd Grade Reading Proficiency,None.,,"North Carolina Department of Public Instruction. Under the header ""2022-23 Reports,"" download the file ""2022-23 School Assessment and Other Indicator Data.""",
Education,,Opportunity Youth,None.,,"myFutureNC. Download the file "" 2024 Attainment Profiles Data Summary xlsx.""
",
Education,,Adults Without a High School Diploma,None.,,"myFutureNC. Download the file "" 2024 Attainment Profiles Data Summary xlsx.""",
Education,,Educational Attainment,None.,,"myFutureNC. Download the file "" 2024 Attainment Profiles Data Summary xlsx.""
",
"Economy
and the Environment",,Agricultural Land,"The US Department of Agriculture conducts the Census of Agriculture every 5 years; this data represents 2022 and is the first update since the 2017 Census of Agriculture. 
",,"US Department of Agriculture, 2022 Census of Agriculture, Volume 1, Chapter 2: County Level Data.",
"Economy
and the Environment",,Farms Across North Carolina,"The US Department of Agriculture conducts the Census of Agriculture every 5 years; this data represents 2022 and is the first update since the 2017 Census of Agriculture. 
",,"US Department of Agriculture, 2022 Census of Agriculture, Volume 1, Chapter 2: County Level Data.",
"Economy
and the Environment",,Broadband Internet Access,"Shows the percentage of households that reported that they had any type of broadband subscription.


",,"US Census Bureau. ""Types of Computers and Internet Subscriptions."" American Community Survey, ACS 5-Year Estimates Subject Tables, Table S2801. . Accessed on June 24, 2024.",
"Economy
and the Environment",,Computing Device Access,"Shows the percentage of households in each county with at least one meaningful computing device for accessing the internet, defined here as a desktop, laptop, or tablet computer.
",,"US Census Bureau. ""Types of Computers and Internet Subscriptions."" American Community Survey, ACS 5-Year Estimates Subject Tables, Table S2801. . Accessed on June 24, 2024.",
"Economy
and the Environment",,Children In Poverty,"None.
",,"US Census Bureau, Small Area Income and Poverty Estimates Program",
"Economy
and the Environment",,"Average
Weekly
Wage","This federal dataset excludes a few categories of workers, including the armed forces, self-employed workers, and private household workers. 

2023 data used in this book represent preliminary annual data; the US Bureau of Labor Statistics will release final 2023 data in September, 2024.",,"US Bureau of Labor Statistics, Quarterly Census of Employment and Wages; use the ""County High-Level"" file.",
"Economy
and the Environment",,Per Capita Income,"A person’s income is counted in the county where they live, even if they work elsewhere.",,US Bureau of Economic Analysis,
"Economy
and the Environment",,"Gross
Domestic Product",None.,,US Bureau of Economic Analysis,
Taxation,,"Property
Tax Rates","The North Carolina Department of Revenue provided a file of all property taxes in North Carolina for FY 2024-25; NCACC determined countywide tax rates from that data. The rates include only countywide rates; for example, municipal fire taxing districts are excluded.",,Provided to NCACC by the North Carolina Department of Revenue.,
Taxation,,Tax Levy Per Capita/ Property Tax Levy,NCACC calculated the tax levy by multiplying the countywide tax rate by the total taxable valuation for each county.,,"Valuation data: Self-reported by counties to the North Carolina Department of Revenue (NCDOR), which provided the data to NCACC.
",
,,,,,2023 Property Tax rates: North Carolina Department of Revenue.,
,,,,,"
Population data: See County Population row. 
",
Taxation,,Taxable Property Per Capita/ Taxable Property Valuation,NCACC calculated the taxable property per capita by dividing the total taxable property in each county by the county's population. ,,"Valuation data: Self-reported by counties to the North Carolina Department of Revenue (NCDOR), which provided the data to NCACC.
",
,,,,,"Population data: See County Population row. 
",
Taxation,,Present Use Valuation (PUV),"North Carolina's Present Use Valuation (PUV) program allows property owners to have their land assessed at a lower value based on its current use for agriculture, horticulture, or forestry, resulting in reduced property taxes and the deferment of the difference between the market value and the use value until the property is either sold or changes its use. The three categories of land that may qualify for classification: Agricultural, Forestland, and Horticultural. ",,"Valuation and deferred valuation is self-reported by counties to the North Carolina Department of Revenue (NCDOR), which provided the data to NCACC. This data can also be seen on NCDOR's annual ""County Taxable Real Property, Personal Property, and Public Service Company Valuations"" report.",
Taxation,,Local Option Sales Taxes,"None.
",,North Carolina Department of Revenue,
